,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Company,Model
0,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,,1.75,Maruti,Wagon R LXI CNG
1,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,12.5,Hyundai,Creta 1.6 CRDi SX Option
2,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.61 Lakh,4.5,Honda,Jazz V
3,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,6.0,Maruti,Ertiga VDI
4,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,,2.35,Hyundai,EON LPG Era Plus Option
5,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,,3.5,Nissan,Micra Diesel XV
6,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,,5.2,Volkswagen,Vento Diesel Comfortline
7,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,,1.95,Tata,Indica Vista Quadrajet LS
8,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10.65 Lakh,9.95,Maruti,Ciaz Zeta
9,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,,4.49,Honda,City 1.5 V AT Sunroof
10,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,,5.6,Maruti,Swift VDI BSIV
11,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,5.4,Honda,Amaze S i-Dtech
12,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,5.99,Maruti,Swift DDiS VDI
13,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,,6.34,Renault,Duster 85PS Diesel RxL Plus
14,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,,8.25,Maruti,S Cross DDiS 200 Alpha
15,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,1.87,Hyundai,i20 1.2 Magna
16,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,,2.85,Volkswagen,Vento Petrol Highline AT
17,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,,4.25,Honda,City Corporate Edition
18,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,,4.25,Nissan,Micra Diesel XV
19,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,,2.75,Maruti,Alto K10 2010-2014 VXI
20,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57 Lakh,9.9,Honda,WRV i-VTEC VX
21,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,,4.0,Toyota,Innova 2.5 V Diesel 7-seater
22,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,,7.75,Renault,Duster 110PS Diesel RxZ Pack
23,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,,6.75,Toyota,Corolla Altis G
24,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,,12.5,Mahindra,Ssangyong Rexton RX7
25,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,,11.5,Audi,A6 2.7 TDI
26,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12.33 Lakh,6.98,Volkswagen,Vento 1.6 Highline
27,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,,1.85,Maruti,Wagon R LXI BSIII
28,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.12 Lakh,8.63,Maruti,Vitara Brezza ZDi Plus
29,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW
30,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,5.0,Volkswagen,Polo Diesel Trendline 1.2L
31,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,,1.25,Maruti,Alto LXi
32,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,,1.53,Tata,Nano LX SE
33,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone
34,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,,4.74,Hyundai,i20 Magna Optional 1.2
35,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,23.64 Lakh,8.85,Hyundai,Elantra 2.0 SX Option AT
36,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,,10.11,Toyota,Corolla Altis G AT
37,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,,4.25,Hyundai,Elantra CRDi
38,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95,Toyota,Innova Crysta 2.7 GX MT
39,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,3.85,Hyundai,Xcent 1.1 CRDi S
40,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,,5.5,Mahindra,Thar CRDe AC
41,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,4.25,Maruti,Swift LDI
42,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,,3.3,Maruti,Swift Ldi BSIV
43,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,3.85,Maruti,Swift VDI
44,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,,3.6,Hyundai,Grand i10 Sportz
45,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline
46,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,,3.3,Renault,KWID RXT
47,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.07,Hyundai,i10 Asta
48,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,,7.75,Nissan,X-Trail SLX AT
49,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,,2.25,Maruti,Zen Estilo VXI BSIII
50,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.75,Ford,Figo Diesel Titanium
51,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,,10.0,Mercedes-Benz,New C-Class 200 CDI Classic
52,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,,2.5,Tata,Indica V2 eLS
53,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,,13.5,Audi,A4 2.0 TDI Multitronic
54,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,,1.85,Honda,City ZX CVT
55,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,,8.15,Maruti,Ertiga SHVS VDI
56,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5,Hyundai,Creta 1.4 E Plus Diesel
57,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,,14.5,Porsche,Cayenne 2009-2014 Turbo
58,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,9.65,Mahindra,XUV500 W8 4WD
59,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,,3.48,Hyundai,i10 Sportz 1.2 AT
60,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,16.65 Lakh,6.92,Nissan,Terrano XV D Pre
61,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,,6.46,Honda,Brio VX AT
63,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,,4.5,Toyota,Innova 2.0 G1
64,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,,11.75,Toyota,Innova 2.5 VX 7 STR BSIV
66,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,3.75,Maruti,Swift VDI
67,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,6.67 Lakh,4.5,Tata,Zest Revotron 1.2T XE
68,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,,4.82,Honda,Amaze SX i-VTEC
