Brand,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti,Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75
Hyundai,Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
Honda,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5
Maruti,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
Audi,Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74
Hyundai,Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35
Nissan,Nissan Micra ,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
Toyota,Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
Volkswagen,Volkswagen Vento ,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
Tata,Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95
Maruti,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95
Honda,Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49
Maruti,Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
Land,Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
Mitsubishi,Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0
Honda,Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
Maruti,Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
Renault,Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
Mercedes-Benz,Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
BMW,BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
Maruti,Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25
Audi,Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5
Hyundai,Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87
Volkswagen,Volkswagen Vento ,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85
Honda,Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25
Nissan,Nissan Micra ,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
Maruti,Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75
Honda,Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9
Toyota,Toyota Innova 2.5,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0
Renault,Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
Toyota,Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75
Mahindra,Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5
Audi,Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
Volkswagen,Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98
Maruti,Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
Maruti,Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
Mahindra,Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85
Mercedes-Benz,Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0
Volkswagen,Volkswagen Polo ,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
Maruti,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25
Tata,Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53
Mahindra,Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58
Hyundai,Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74
Hyundai,Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85
Toyota,Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
Hyundai,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25
Toyota,Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95
Hyundai,Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
Mahindra,Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5
Audi,Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
Maruti,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
Maruti,Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
Maruti,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
Hyundai,Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6
Volkswagen,Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99
Renault,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3
Hyundai,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07
Nissan,Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75
Maruti,Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25
Toyota,Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
Ford,Ford Figo ,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
Mercedes-Benz,Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7
Mercedes-Benz,Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0
Tata,Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
Audi,Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
Honda,Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85
Maruti,Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
Hyundai,Hyundai Creta 1.4,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
Porsche,Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5
